timestamp,device_id,device_type,room,power_consumption_kwh,carbon_emission_kg,status,temperature
2025-11-01T04:20:00.000Z,D5387,Fan,Kitchen,0.795,0.378,OFF,23
2025-11-01T04:30:00.000Z,D1060,Refrigerator,Living Room,1.686,0.801,ON,25.3
2025-11-01T04:40:00.000Z,D2320,Light,Kitchen,1.462,0.694,OFF,29.2
2025-11-01T04:50:00.000Z,D7590,AC,Office,0.807,0.383,ON,23.2
2025-11-01T05:00:00.000Z,D8966,Heater,Office,1.559,0.741,ON,29.3
2025-11-01T05:10:00.000Z,D7086,AC,Living Room,0.582,0.276,OFF,26.8
2025-11-01T05:20:00.000Z,D4886,Light,Garage,1.987,0.944,OFF,24.5
2025-11-01T05:30:00.000Z,D7679,Heater,Kitchen,1.803,0.856,ON,23.2
2025-11-01T05:40:00.000Z,D4113,Washing Machine,Living Room,1.987,0.944,OFF,21.2
2025-11-01T05:50:00.000Z,D9234,Laptop,Garage,0.971,0.461,OFF,22.7
2025-11-01T06:00:00.000Z,D5244,Fan,Bedroom,2.269,1.078,OFF,24.2
2025-11-01T06:10:00.000Z,D5173,Refrigerator,Office,1.481,0.703,OFF,33.8
2025-11-01T06:20:00.000Z,D1392,Refrigerator,Living Room,0.112,0.053,ON,21.3
2025-11-01T06:30:00.000Z,D7322,Laptop,Office,2.156,1.024,ON,22.8
2025-11-01T06:40:00.000Z,D4105,Fan,Bedroom,1.846,0.877,ON,29.1
2025-11-01T06:50:00.000Z,D7366,Heater,Garage,1.97,0.936,OFF,22.7
2025-11-01T07:00:00.000Z,D7739,Heater,Garage,2.171,1.031,ON,25
2025-11-01T07:10:00.000Z,D6594,Light,Bedroom,0.449,0.213,OFF,34.8
2025-11-01T07:20:00.000Z,D2307,Heater,Living Room,1.999,0.95,ON,20.5
2025-11-01T07:30:00.000Z,D4741,Heater,Bedroom,2.079,0.988,ON,25.9
2025-11-01T07:40:00.000Z,D7262,Refrigerator,Kitchen,2.356,1.119,OFF,23
2025-11-01T07:50:00.000Z,D5022,Light,Kitchen,0.571,0.271,OFF,33.8
2025-11-01T08:00:00.000Z,D3582,Heater,Office,0.218,0.104,OFF,31.8
2025-11-01T08:10:00.000Z,D1904,Heater,Kitchen,1.676,0.796,ON,26.8
2025-11-01T08:20:00.000Z,D2320,Fan,Garage,1.308,0.621,ON,28.3
2025-11-01T08:30:00.000Z,D3734,Refrigerator,Office,0.84,0.399,OFF,28.3
2025-11-01T08:40:00.000Z,D4939,Refrigerator,Bedroom,1.469,0.698,OFF,30.4
2025-11-01T08:50:00.000Z,D2437,Heater,Office,1.735,0.824,ON,23.5
2025-11-01T09:00:00.000Z,D8369,Heater,Garage,1.293,0.614,OFF,19.2
2025-11-01T09:10:00.000Z,D5942,AC,Bedroom,0.336,0.16,OFF,31.8
2025-11-01T09:20:00.000Z,D2265,AC,Bedroom,1.684,0.8,ON,30.3
2025-11-01T09:30:00.000Z,D6288,Fan,Living Room,0.523,0.248,ON,26.6
2025-11-01T09:40:00.000Z,D7597,Heater,Living Room,0.566,0.269,ON,22.8
2025-11-01T09:50:00.000Z,D4905,Washing Machine,Garage,0.466,0.221,OFF,27.6
2025-11-01T10:00:00.000Z,D5290,Washing Machine,Kitchen,0.377,0.179,ON,25.1
2025-11-01T10:10:00.000Z,D6930,Fan,Bedroom,0.14,0.067,OFF,18.3
2025-11-01T10:20:00.000Z,D1463,Laptop,Living Room,2.465,1.171,ON,21.2
2025-11-01T10:30:00.000Z,D2389,Light,Kitchen,1.895,0.9,OFF,30.9
2025-11-01T10:40:00.000Z,D2052,Laptop,Office,2.098,0.997,ON,33.3
2025-11-01T10:50:00.000Z,D3756,Refrigerator,Office,1.496,0.711,OFF,19.5
2025-11-01T11:00:00.000Z,D1396,AC,Kitchen,0.944,0.448,OFF,24.5
2025-11-01T11:10:00.000Z,D5590,Fan,Office,1.432,0.68,ON,21.5
2025-11-01T11:20:00.000Z,D8956,Laptop,Garage,1.718,0.816,ON,24.6
2025-11-01T11:30:00.000Z,D7746,Heater,Garage,0.743,0.353,ON,21.3
2025-11-01T11:40:00.000Z,D1423,Fan,Office,2.29,1.088,OFF,33.8
2025-11-01T11:50:00.000Z,D6290,Light,Living Room,2.283,1.084,ON,26
2025-11-01T12:00:00.000Z,D1666,Heater,Kitchen,2.229,1.059,ON,29.6
2025-11-01T12:10:00.000Z,D7433,Light,Bedroom,1.987,0.944,ON,22.5
2025-11-01T12:20:00.000Z,D8894,Heater,Office,1.774,0.843,ON,25.4
2025-11-01T12:30:00.000Z,D9039,Refrigerator,Kitchen,0.207,0.098,OFF,20.1
2025-11-01T12:40:00.000Z,D5748,Heater,Office,1.393,0.662,ON,18.8
2025-11-01T12:50:00.000Z,D4648,Refrigerator,Kitchen,1.623,0.771,OFF,29.6
2025-11-01T13:00:00.000Z,D8821,Refrigerator,Living Room,0.716,0.34,OFF,31.7
2025-11-01T13:10:00.000Z,D3710,Washing Machine,Bedroom,0.923,0.438,ON,33.3
2025-11-01T13:20:00.000Z,D1765,Fan,Garage,1.993,0.947,ON,32.4
2025-11-01T13:30:00.000Z,D9951,Refrigerator,Bedroom,2.271,1.079,ON,28.3
2025-11-01T13:40:00.000Z,D3265,Refrigerator,Garage,0.08,0.038,OFF,24.1
2025-11-01T13:50:00.000Z,D3892,Fan,Bedroom,1.104,0.524,ON,28.1
2025-11-01T14:00:00.000Z,D7511,Heater,Garage,0.861,0.409,ON,33.9
2025-11-01T14:10:00.000Z,D2177,Refrigerator,Garage,2.435,1.157,OFF,18.3
2025-11-01T14:20:00.000Z,D4625,Fan,Living Room,0.875,0.416,OFF,31.8
2025-11-01T14:30:00.000Z,D5876,Heater,Living Room,2.445,1.161,ON,20.8
2025-11-01T14:40:00.000Z,D7259,Heater,Garage,0.081,0.038,ON,20
2025-11-01T14:50:00.000Z,D8647,Fan,Office,0.278,0.132,ON,23.3
2025-11-01T15:00:00.000Z,D6563,AC,Bedroom,1.29,0.613,OFF,26.9
2025-11-01T15:10:00.000Z,D9367,Refrigerator,Living Room,2.296,1.091,OFF,21.4
2025-11-01T15:20:00.000Z,D4308,Refrigerator,Kitchen,2.374,1.128,ON,28.7
2025-11-01T15:30:00.000Z,D8054,Washing Machine,Bedroom,1.136,0.54,ON,31.9
2025-11-01T15:40:00.000Z,D7129,Light,Bedroom,1.233,0.586,OFF,22.8
2025-11-01T15:50:00.000Z,D1250,Fan,Garage,2.297,1.091,ON,18.2
2025-11-01T16:00:00.000Z,D4059,Light,Living Room,1.232,0.585,ON,21.8
2025-11-01T16:10:00.000Z,D3051,Washing Machine,Office,0.295,0.14,ON,20.6
2025-11-01T16:20:00.000Z,D3326,AC,Garage,1.577,0.749,ON,30.2
2025-11-01T16:30:00.000Z,D7145,Heater,Office,1.652,0.785,OFF,26.4
2025-11-01T16:40:00.000Z,D1539,Washing Machine,Bedroom,2.106,1,OFF,18.8
2025-11-01T16:50:00.000Z,D2961,Refrigerator,Living Room,1.256,0.597,ON,34.5
2025-11-01T17:00:00.000Z,D6202,Heater,Bedroom,0.354,0.168,OFF,18.5
2025-11-01T17:10:00.000Z,D2068,Fan,Kitchen,1.476,0.701,ON,27.2
2025-11-01T17:20:00.000Z,D9703,Fan,Bedroom,2.147,1.02,ON,18.7
2025-11-01T17:30:00.000Z,D1292,Laptop,Office,1.607,0.763,ON,25.7
2025-11-01T17:40:00.000Z,D4624,Fan,Bedroom,1.296,0.616,OFF,24.5
2025-11-01T17:50:00.000Z,D9309,Refrigerator,Garage,2.049,0.973,OFF,18.1
2025-11-01T18:00:00.000Z,D3458,Washing Machine,Kitchen,2.126,1.01,ON,30.9
2025-11-01T18:10:00.000Z,D5402,Refrigerator,Living Room,2.338,1.111,ON,32.1
2025-11-01T18:20:00.000Z,D4392,Refrigerator,Kitchen,0.579,0.275,ON,27.2
2025-11-01T18:30:00.000Z,D2711,Fan,Office,0.365,0.173,ON,32.5
2025-11-01T18:40:00.000Z,D7246,Light,Bedroom,1.198,0.569,ON,21.6
2025-11-01T18:50:00.000Z,D6361,AC,Garage,1.004,0.477,ON,32
2025-11-01T19:00:00.000Z,D7837,Refrigerator,Garage,1.714,0.814,OFF,29.6
2025-11-01T19:10:00.000Z,D1441,Fan,Living Room,2.478,1.177,ON,22.1
2025-11-01T19:20:00.000Z,D5704,Laptop,Living Room,1.236,0.587,OFF,34.4
2025-11-01T19:30:00.000Z,D5012,AC,Kitchen,1.063,0.505,ON,22
2025-11-01T19:40:00.000Z,D4799,AC,Bedroom,1.02,0.484,ON,27.3
2025-11-01T19:50:00.000Z,D1132,Fan,Bedroom,0.545,0.259,ON,28.2
2025-11-01T20:00:00.000Z,D2609,AC,Bedroom,2.349,1.116,OFF,22.1
2025-11-01T20:10:00.000Z,D3395,Washing Machine,Living Room,1.839,0.874,OFF,33.8
2025-11-01T20:20:00.000Z,D9339,Laptop,Garage,0.992,0.471,ON,22
2025-11-01T20:30:00.000Z,D4121,AC,Living Room,0.177,0.084,OFF,34.8
2025-11-01T20:40:00.000Z,D4099,AC,Kitchen,0.14,0.067,OFF,28.5
2025-11-01T20:50:00.000Z,D8443,Washing Machine,Living Room,0.961,0.456,OFF,34.3
2025-11-01T21:00:00.000Z,D1084,Fan,Living Room,1.204,0.572,ON,27.9
2025-11-01T21:10:00.000Z,D2533,Fan,Kitchen,0.197,0.094,OFF,33.9
2025-11-01T21:20:00.000Z,D4394,Light,Kitchen,1.812,0.861,ON,26.9
2025-11-01T21:30:00.000Z,D5457,Fan,Kitchen,0.251,0.119,OFF,29.5
2025-11-01T21:40:00.000Z,D5417,Washing Machine,Office,1.967,0.934,ON,22.4
2025-11-01T21:50:00.000Z,D9546,Refrigerator,Living Room,2.06,0.978,OFF,34.7
2025-11-01T22:00:00.000Z,D2103,Heater,Bedroom,1.121,0.532,OFF,26.2
2025-11-01T22:10:00.000Z,D7402,Fan,Bedroom,2.406,1.143,OFF,21.6
2025-11-01T22:20:00.000Z,D6333,Laptop,Office,0.436,0.207,OFF,18.9
2025-11-01T22:30:00.000Z,D5971,Washing Machine,Garage,1.287,0.611,ON,19.5
2025-11-01T22:40:00.000Z,D8439,Refrigerator,Garage,0.636,0.302,ON,29.5
2025-11-01T22:50:00.000Z,D6055,Heater,Living Room,2.113,1.004,ON,34.7
2025-11-01T23:00:00.000Z,D6526,Heater,Kitchen,0.948,0.45,ON,26
2025-11-01T23:10:00.000Z,D1205,AC,Kitchen,0.057,0.027,ON,22.8
2025-11-01T23:20:00.000Z,D9807,Laptop,Garage,0.524,0.249,OFF,23.2
2025-11-01T23:30:00.000Z,D8139,AC,Garage,0.208,0.099,OFF,34.3
2025-11-01T23:40:00.000Z,D9713,Washing Machine,Office,1.031,0.49,ON,27.7
2025-11-01T23:50:00.000Z,D1447,Washing Machine,Bedroom,1.45,0.689,OFF,34.1
2025-11-02T00:00:00.000Z,D8900,Fan,Kitchen,2.051,0.974,OFF,30.1
2025-11-02T00:10:00.000Z,D8940,Refrigerator,Garage,1.022,0.485,ON,32
2025-11-02T00:20:00.000Z,D9365,Washing Machine,Office,1.535,0.729,ON,33.2
2025-11-02T00:30:00.000Z,D1555,Light,Office,0.433,0.206,OFF,24.9
2025-11-02T00:40:00.000Z,D8109,AC,Garage,0.939,0.446,OFF,22.6
2025-11-02T00:50:00.000Z,D7558,Laptop,Kitchen,1.742,0.827,ON,18.9
2025-11-02T01:00:00.000Z,D8834,AC,Kitchen,1.116,0.53,ON,32.3
2025-11-02T01:10:00.000Z,D7535,Laptop,Living Room,1.033,0.491,ON,22.1
2025-11-02T01:20:00.000Z,D1976,Light,Kitchen,1.865,0.886,ON,18.4
2025-11-02T01:30:00.000Z,D3998,Refrigerator,Bedroom,1.605,0.762,ON,18.6
2025-11-02T01:40:00.000Z,D3670,AC,Living Room,0.634,0.301,OFF,33.8
2025-11-02T01:50:00.000Z,D1674,Refrigerator,Living Room,2.051,0.974,ON,33.9
2025-11-02T02:00:00.000Z,D3037,Fan,Bedroom,0.903,0.429,ON,34.1
2025-11-02T02:10:00.000Z,D4095,Light,Bedroom,0.32,0.152,ON,18.1
2025-11-02T02:20:00.000Z,D9911,Light,Bedroom,2.095,0.995,OFF,21.7
2025-11-02T02:30:00.000Z,D8126,Laptop,Living Room,0.98,0.465,ON,19.9
2025-11-02T02:40:00.000Z,D8724,Light,Bedroom,2.176,1.034,OFF,30.7
2025-11-02T02:50:00.000Z,D4195,Refrigerator,Garage,0.151,0.072,OFF,25.4
2025-11-02T03:00:00.000Z,D6001,Heater,Garage,0.992,0.471,OFF,20.1
2025-11-02T03:10:00.000Z,D8968,Fan,Office,1.915,0.91,ON,24.9
2025-11-02T03:20:00.000Z,D4028,Light,Living Room,0.941,0.447,ON,28.1
2025-11-02T03:30:00.000Z,D2508,Washing Machine,Office,1.448,0.688,OFF,23.4
2025-11-02T03:40:00.000Z,D8364,Heater,Bedroom,1.089,0.517,ON,29.3
2025-11-02T03:50:00.000Z,D2832,Refrigerator,Kitchen,2.174,1.033,OFF,31.6
2025-11-02T04:00:00.000Z,D7613,Refrigerator,Garage,0.946,0.449,ON,31.9
2025-11-02T04:10:00.000Z,D7601,Light,Kitchen,1.221,0.58,ON,31.7
2025-11-02T04:20:00.000Z,D1905,Fan,Garage,1.283,0.609,ON,23.5
2025-11-02T04:30:00.000Z,D9135,AC,Living Room,0.473,0.225,ON,23.2
2025-11-02T04:40:00.000Z,D3702,Laptop,Office,0.325,0.154,ON,22.2
2025-11-02T04:50:00.000Z,D1213,Laptop,Kitchen,1.468,0.697,ON,30.7
2025-11-02T05:00:00.000Z,D5587,AC,Kitchen,0.844,0.401,OFF,28
2025-11-02T05:10:00.000Z,D2244,Heater,Bedroom,2.208,1.049,OFF,20.8
2025-11-02T05:20:00.000Z,D7022,AC,Office,0.398,0.189,ON,24.5
2025-11-02T05:30:00.000Z,D2103,AC,Living Room,0.766,0.364,ON,28.5
2025-11-02T05:40:00.000Z,D7461,Laptop,Garage,1.961,0.931,ON,23.5
2025-11-02T05:50:00.000Z,D9288,Refrigerator,Garage,1.379,0.655,ON,22.4
2025-11-02T06:00:00.000Z,D5108,Light,Office,0.408,0.194,OFF,28.6
2025-11-02T06:10:00.000Z,D2309,Refrigerator,Garage,1.804,0.857,OFF,19.2
2025-11-02T06:20:00.000Z,D3349,Fan,Living Room,0.203,0.096,ON,28.2
2025-11-02T06:30:00.000Z,D5165,Laptop,Bedroom,1.074,0.51,OFF,30
2025-11-02T06:40:00.000Z,D2865,Heater,Kitchen,1.362,0.647,ON,22.1
2025-11-02T06:50:00.000Z,D7658,Heater,Living Room,0.498,0.237,ON,18.6
2025-11-02T07:00:00.000Z,D6127,Laptop,Office,2.03,0.964,OFF,19.4
2025-11-02T07:10:00.000Z,D3045,Light,Garage,2.235,1.062,OFF,25.1
2025-11-02T07:20:00.000Z,D7573,Refrigerator,Office,0.724,0.344,OFF,23.1
2025-11-02T07:30:00.000Z,D9700,Light,Office,1.323,0.628,ON,25.8
2025-11-02T07:40:00.000Z,D8798,Fan,Office,0.296,0.141,OFF,26.3
2025-11-02T07:50:00.000Z,D8291,Washing Machine,Living Room,0.896,0.426,ON,21.3
2025-11-02T08:00:00.000Z,D2256,Washing Machine,Kitchen,1.581,0.751,OFF,23.7
2025-11-02T08:10:00.000Z,D5490,Refrigerator,Office,1.117,0.531,ON,18.1
2025-11-02T08:20:00.000Z,D4014,Refrigerator,Kitchen,0.355,0.169,ON,21.6
2025-11-02T08:30:00.000Z,D1517,AC,Living Room,0.519,0.247,OFF,31.4
2025-11-02T08:40:00.000Z,D3854,Light,Kitchen,1.232,0.585,ON,19.6
2025-11-02T08:50:00.000Z,D4910,Laptop,Garage,0.262,0.124,OFF,18.5
2025-11-02T09:00:00.000Z,D1076,Washing Machine,Bedroom,2.165,1.028,OFF,23.6
2025-11-02T09:10:00.000Z,D8867,AC,Garage,1.738,0.826,OFF,22.5
2025-11-02T09:20:00.000Z,D4795,Fan,Kitchen,1.342,0.637,OFF,32.6
2025-11-02T09:30:00.000Z,D6550,Light,Garage,1.452,0.69,ON,18.1
2025-11-02T09:40:00.000Z,D8740,Fan,Garage,2.38,1.13,OFF,21.9
2025-11-02T09:50:00.000Z,D8461,AC,Kitchen,1.083,0.514,OFF,25.6
2025-11-02T10:00:00.000Z,D2618,Light,Living Room,2.209,1.049,ON,28
2025-11-02T10:10:00.000Z,D1287,Heater,Living Room,2.281,1.083,ON,26.5
2025-11-02T10:20:00.000Z,D7732,Refrigerator,Bedroom,0.933,0.443,ON,19.8
2025-11-02T10:30:00.000Z,D3316,Refrigerator,Bedroom,2.309,1.097,ON,20.7
2025-11-02T10:40:00.000Z,D5383,Light,Bedroom,1.672,0.794,ON,20.5
2025-11-02T10:50:00.000Z,D2196,Heater,Office,1.696,0.806,OFF,28.8
2025-11-02T11:00:00.000Z,D5646,Heater,Office,1.128,0.536,ON,27.8
2025-11-02T11:10:00.000Z,D8126,Refrigerator,Living Room,0.297,0.141,OFF,33.2
2025-11-02T11:20:00.000Z,D3690,Heater,Office,0.429,0.204,OFF,30
2025-11-02T11:30:00.000Z,D1253,Refrigerator,Office,2.213,1.051,ON,22.6
2025-11-02T11:40:00.000Z,D1510,Heater,Kitchen,0.877,0.417,ON,18.4
2025-11-02T11:50:00.000Z,D6057,Light,Office,0.633,0.301,OFF,29
2025-11-02T12:00:00.000Z,D4778,Fan,Garage,0.595,0.283,OFF,30.9
2025-11-02T12:10:00.000Z,D2137,Fan,Living Room,2.387,1.134,OFF,27.9
2025-11-02T12:20:00.000Z,D4428,AC,Kitchen,0.17,0.081,ON,30.2
2025-11-02T12:30:00.000Z,D6834,AC,Office,2.028,0.963,ON,18.8
2025-11-02T12:40:00.000Z,D9536,Heater,Garage,1.128,0.536,OFF,31
2025-11-02T12:50:00.000Z,D2037,Heater,Bedroom,0.701,0.333,OFF,24.2
2025-11-02T13:00:00.000Z,D1808,Light,Bedroom,0.546,0.259,OFF,20.3
2025-11-02T13:10:00.000Z,D1873,Heater,Office,1.921,0.912,ON,24.9
2025-11-02T13:20:00.000Z,D6398,AC,Living Room,2.261,1.074,OFF,35
2025-11-02T13:30:00.000Z,D3063,Laptop,Office,1.306,0.62,ON,20.7
2025-11-02T13:40:00.000Z,D6337,Refrigerator,Kitchen,0.685,0.325,ON,25
2025-11-02T13:50:00.000Z,D9950,Fan,Bedroom,0.496,0.236,OFF,33.2
2025-11-02T14:00:00.000Z,D7551,Heater,Bedroom,0.404,0.192,ON,24.5
2025-11-02T14:10:00.000Z,D3142,Washing Machine,Kitchen,0.075,0.036,ON,20.2
2025-11-02T14:20:00.000Z,D6778,Washing Machine,Living Room,1.898,0.902,OFF,20.3
2025-11-02T14:30:00.000Z,D6080,Light,Kitchen,2.078,0.987,ON,34.4
2025-11-02T14:40:00.000Z,D8042,Washing Machine,Kitchen,0.077,0.037,OFF,20.5
2025-11-02T14:50:00.000Z,D1780,Refrigerator,Bedroom,0.708,0.336,ON,18.2
2025-11-02T15:00:00.000Z,D7850,Washing Machine,Bedroom,1.296,0.616,OFF,25.2
2025-11-02T15:10:00.000Z,D3228,AC,Kitchen,0.32,0.152,ON,26.3
2025-11-02T15:20:00.000Z,D9831,Fan,Living Room,2.079,0.988,ON,28
2025-11-02T15:30:00.000Z,D5922,Washing Machine,Office,1.905,0.905,OFF,30.6
2025-11-02T15:40:00.000Z,D4281,Heater,Garage,1.468,0.697,ON,27.5
2025-11-02T15:50:00.000Z,D4094,AC,Garage,2.07,0.983,OFF,18.9
2025-11-02T16:00:00.000Z,D9167,Washing Machine,Bedroom,2.261,1.074,OFF,22.9
2025-11-02T16:10:00.000Z,D8237,Fan,Office,1.772,0.842,ON,29.2
2025-11-02T16:20:00.000Z,D6886,Washing Machine,Bedroom,1.991,0.946,OFF,25.4
2025-11-02T16:30:00.000Z,D9418,Refrigerator,Office,2.367,1.124,ON,29.2
2025-11-02T16:40:00.000Z,D1570,Laptop,Living Room,0.208,0.099,OFF,27.9
2025-11-02T16:50:00.000Z,D9573,Light,Living Room,2.284,1.085,OFF,34.4
2025-11-02T17:00:00.000Z,D1119,Laptop,Living Room,0.545,0.259,OFF,19.6
2025-11-02T17:10:00.000Z,D6036,Light,Garage,2.169,1.03,OFF,30.8
2025-11-02T17:20:00.000Z,D3290,AC,Office,1.186,0.563,ON,27.5
2025-11-02T17:30:00.000Z,D8856,Refrigerator,Office,0.357,0.17,ON,22.7
2025-11-02T17:40:00.000Z,D1973,Light,Bedroom,2.209,1.049,OFF,24.8
2025-11-02T17:50:00.000Z,D7501,Light,Garage,1.042,0.495,ON,23.9
2025-11-02T18:00:00.000Z,D5133,Fan,Garage,0.781,0.371,OFF,20.9
2025-11-02T18:10:00.000Z,D1169,Laptop,Office,2.247,1.067,ON,21.1
2025-11-02T18:20:00.000Z,D5438,Laptop,Office,0.883,0.419,ON,23.9
2025-11-02T18:30:00.000Z,D4239,Washing Machine,Garage,1.46,0.694,OFF,23.7
2025-11-02T18:40:00.000Z,D3050,Heater,Garage,0.381,0.181,ON,32.6
2025-11-02T18:50:00.000Z,D5737,Fan,Garage,0.169,0.08,OFF,20.8
2025-11-02T19:00:00.000Z,D3004,Washing Machine,Office,1.342,0.637,OFF,27.5
2025-11-02T19:10:00.000Z,D5066,Fan,Bedroom,0.705,0.335,ON,28.8
2025-11-02T19:20:00.000Z,D8445,Washing Machine,Kitchen,1.085,0.515,ON,28.4
2025-11-02T19:30:00.000Z,D3965,Heater,Living Room,2.13,1.012,OFF,24.8
2025-11-02T19:40:00.000Z,D3276,Heater,Kitchen,2.436,1.157,ON,29.9
2025-11-02T19:50:00.000Z,D7229,Heater,Garage,1.493,0.709,ON,28.3
2025-11-02T20:00:00.000Z,D1333,Laptop,Bedroom,0.749,0.356,OFF,19.1
2025-11-02T20:10:00.000Z,D3457,Laptop,Bedroom,0.397,0.189,OFF,31.4
2025-11-02T20:20:00.000Z,D7469,Washing Machine,Kitchen,2.301,1.093,ON,20.1
2025-11-02T20:30:00.000Z,D6725,Fan,Office,2.029,0.964,OFF,25.6
2025-11-02T20:40:00.000Z,D5055,AC,Garage,0.653,0.31,ON,30.4
2025-11-02T20:50:00.000Z,D2357,Refrigerator,Office,0.246,0.117,OFF,25.8
2025-11-02T21:00:00.000Z,D2929,Heater,Living Room,2.015,0.957,OFF,22.7
2025-11-02T21:10:00.000Z,D8064,Fan,Bedroom,0.523,0.248,ON,24.6
2025-11-02T21:20:00.000Z,D6595,Laptop,Office,2.253,1.07,OFF,31
2025-11-02T21:30:00.000Z,D4844,Light,Kitchen,0.679,0.323,ON,30.8
2025-11-02T21:40:00.000Z,D1908,AC,Office,2.152,1.022,OFF,18.5
2025-11-02T21:50:00.000Z,D3107,Light,Office,2.12,1.007,ON,34.1
2025-11-02T22:00:00.000Z,D8359,Fan,Bedroom,0.974,0.463,ON,27.1
2025-11-02T22:10:00.000Z,D6217,AC,Living Room,2.17,1.031,ON,29.7
2025-11-02T22:20:00.000Z,D9775,Heater,Bedroom,1.615,0.767,OFF,22.2
2025-11-02T22:30:00.000Z,D5616,AC,Kitchen,0.42,0.199,ON,23.4
2025-11-02T22:40:00.000Z,D2865,Washing Machine,Kitchen,1.409,0.669,OFF,25.3
2025-11-02T22:50:00.000Z,D6856,Heater,Living Room,0.66,0.314,ON,23.6
2025-11-02T23:00:00.000Z,D4781,Fan,Kitchen,1.011,0.48,ON,20.1
2025-11-02T23:10:00.000Z,D2432,Heater,Living Room,1.622,0.77,OFF,28.1
2025-11-02T23:20:00.000Z,D2971,AC,Kitchen,0.965,0.458,OFF,26.3
2025-11-02T23:30:00.000Z,D2968,Light,Living Room,0.198,0.094,OFF,28.3
2025-11-02T23:40:00.000Z,D1303,Light,Kitchen,1.879,0.893,OFF,19
2025-11-02T23:50:00.000Z,D3299,AC,Office,1.004,0.477,ON,29.8
2025-11-03T00:00:00.000Z,D3235,AC,Kitchen,2.153,1.023,OFF,22.2
2025-11-03T00:10:00.000Z,D5835,Laptop,Kitchen,0.526,0.25,OFF,18.7
2025-11-03T00:20:00.000Z,D1228,Heater,Garage,1.865,0.886,OFF,22
2025-11-03T00:30:00.000Z,D1911,Fan,Kitchen,1.729,0.821,ON,33.7
2025-11-03T00:40:00.000Z,D2152,Light,Office,1.434,0.681,OFF,30.6
2025-11-03T00:50:00.000Z,D9961,Heater,Living Room,0.504,0.239,ON,22.2
2025-11-03T01:00:00.000Z,D5857,Light,Office,0.341,0.162,OFF,28.1
2025-11-03T01:10:00.000Z,D8734,AC,Kitchen,2.41,1.145,OFF,20.2
2025-11-03T01:20:00.000Z,D4088,Fan,Living Room,0.529,0.251,ON,25.3
2025-11-03T01:30:00.000Z,D7956,Fan,Office,1.662,0.789,OFF,18.2
2025-11-03T01:40:00.000Z,D6301,Laptop,Living Room,0.358,0.17,ON,33.7
2025-11-03T01:50:00.000Z,D4940,AC,Office,2.36,1.121,OFF,29.8
2025-11-03T02:00:00.000Z,D1837,Light,Office,0.923,0.438,OFF,18.1
2025-11-03T02:10:00.000Z,D6569,Washing Machine,Garage,1.384,0.657,ON,18
2025-11-03T02:20:00.000Z,D6086,Fan,Bedroom,0.278,0.132,OFF,21.4
2025-11-03T02:30:00.000Z,D5218,Washing Machine,Living Room,1.8,0.855,ON,25.2
